angle_rad,band,kx_Ainv,ky_Ainv,sx,sy,sz,helicity
2.8797932657906435,upper,-0.04829629131445341,0.01294095225512605,-0.24030745053487138,-0.8968396148334841,0.37139067635410367,0.9284766908852594
2.96705972839036,lower,-0.0492403876506104,0.008682408883346536,0.1612282853784474,0.9143710436749225,-0.371390676354104,-0.9284766908852592
2.96705972839036,upper,-0.0492403876506104,0.008682408883346536,-0.1612282853784474,-0.9143710436749225,0.3713906763541038,0.9284766908852592
3.0543261909900767,lower,-0.04980973490458728,0.00435778713738291,0.08092207561799258,0.9249435567616641,-0.3713906763541038,-0.9284766908852596
3.0543261909900767,upper,-0.04980973490458728,0.00435778713738291,-0.08092207561799258,-0.9249435567616641,0.37139067635410355,0.9284766908852596
3.141592653589793,lower,-0.05,6.123233995736766e-18,2.0616324000971787e-16,0.9284766908852595,-0.3713906763541036,-0.9284766908852595
3.141592653589793,upper,-0.05,6.123233995736766e-18,-2.0616324000971787e-16,-0.9284766908852595,0.3713906763541036,0.9284766908852595
3.2288591161895095,lower,-0.04980973490458728,-0.004357787137382898,-0.08092207561799236,0.9249435567616641,-0.3713906763541037,-0.9284766908852595
3.2288591161895095,upper,-0.04980973490458728,-0.004357787137382898,0.08092207561799238,-0.9249435567616641,0.37139067635410355,0.9284766908852595
3.316125578789226,lower,-0.04924038765061041,-0.008682408883346501,-0.16122828537844686,0.914371043674923,-0.37139067635410367,-0.9284766908852595
3.316125578789226,upper,-0.04924038765061041,-0.008682408883346501,0.16122828537844686,-0.9143710436749228,0.37139067635410367,0.9284766908852594
3.4033920413889427,lower,-0.04829629131445342,-0.01294095225512604,-0.24030745053487118,0.8968396148334841,-0.3713906763541037,-0.9284766908852594
3.4033920413889427,upper,-0.04829629131445342,-0.01294095225512604,0.2403074505348712,-0.8968396148334841,0.37139067635410367,0.9284766908852594
3.490658503988659,lower,-0.04698463103929543,-0.017101007166283433,-0.317557730891119,0.8724826949965974,-0.37139067635410394,-0.9284766908852596
3.490658503988659,upper,-0.04698463103929543,-0.017101007166283433,0.317557730891119,-0.8724826949965974,0.37139067635410355,0.9284766908852596
3.5779249665883754,lower,-0.045315389351832505,-0.021130913087034964,-0.39239120516868486,0.8414856550313312,-0.37139067635410344,-0.9284766908852593
3.5779249665883754,upper,-0.045315389351832505,-0.021130913087034964,0.39239120516868486,-0.8414856550313311,0.3713906763541036,0.9284766908852592
3.665191429188092,lower,-0.043301270189221946,-0.024999999999999988,-0.4642383454426291,0.8040844011283462,-0.37139067635410394,-0.9284766908852592
3.665191429188092,upper,-0.043301270189221946,-0.024999999999999988,0.4642383454426292,-0.8040844011283462,0.37139067635410383,0.9284766908852592
3.752457891787808,lower,-0.04095760221444961,-0.028678821817552293,-0.5325523515929786,0.760563579413339,-0.37139067635410383,-0.9284766908852595
3.752457891787808,upper,-0.04095760221444961,-0.028678821817552293,0.5325523515929786,-0.760563579413339,0.3713906763541036,0.9284766908852595
3.839724354387525,lower,-0.0383022221559489,-0.03213938048432696,-0.5968133127838037,0.71125440961815,-0.37139067635410344,-0.9284766908852593
3.839724354387525,upper,-0.0383022221559489,-0.03213938048432696,0.5968133127838038,-0.7112544096181501,0.3713906763541037,0.9284766908852595
3.9269908169872414,lower,-0.03535533905932738,-0.035355339059327376,-0.6565321642986128,0.6565321642986129,-0.37139067635410355,-0.9284766908852595
3.9269908169872414,upper,-0.03535533905932738,-0.035355339059327376,0.6565321642986128,-0.6565321642986129,0.37139067635410367,0.9284766908852595
4.014257279586958,lower,-0.032139380484326976,-0.038302222155948897,-0.7112544096181499,0.5968133127838037,-0.3713906763541041,-0.9284766908852593
4.014257279586958,upper,-0.032139380484326976,-0.038302222155948897,0.7112544096181499,-0.5968133127838037,0.3713906763541037,0.9284766908852593
4.101523742186674,lower,-0.02867882181755232,-0.04095760221444958,-0.7605635794133382,0.5325523515929792,-0.37139067635410383,-0.9284766908852593
4.101523742186674,upper,-0.02867882181755232,-0.04095760221444958,0.7605635794133382,-0.5325523515929792,0.3713906763541037,0.9284766908852593
4.1887902047863905,lower,-0.025000000000000022,-0.04330127018922192,-0.804084401128346,0.46423834544263015,-0.37139067635410355,-0.9284766908852595
4.1887902047863905,upper,-0.025000000000000022,-0.04330127018922192,0.804084401128346,-0.4642383454426301,0.3713906763541036,0.9284766908852594
4.276056667386107,lower,-0.021130913087035,-0.04531538935183249,-0.8414856550313308,0.39239120516868536,-0.37139067635410405,-0.9284766908852593
4.276056667386107,upper,-0.021130913087035,-0.04531538935183249,0.8414856550313307,-0.39239120516868536,0.3713906763541039,0.9284766908852592
4.363323129985823,lower,-0.01710100716628347,-0.04698463103929541,-0.872482694996597,0.3175577308911197,-0.3713906763541037,-0.9284766908852596
4.363323129985823,upper,-0.01710100716628347,-0.04698463103929541,0.872482694996597,-0.31755773089111966,0.3713906763541036,0.9284766908852595
4.4505895925855405,lower,-0.012940952255126032,-0.04829629131445342,-0.8968396148334838,0.24030745053487104,-0.37139067635410317,-0.9284766908852591
4.4505895925855405,upper,-0.012940952255126032,-0.04829629131445342,0.896839614833484,-0.24030745053487104,0.37139067635410355,0.9284766908852592
4.537856055185257,lower,-0.008682408883346517,-0.0492403876506104,-0.9143710436749227,0.16122828537844708,-0.3713906763541039,-0.9284766908852593
4.537856055185257,upper,-0.008682408883346517,-0.0492403876506104,0.9143710436749227,-0.16122828537844708,0.3713906763541038,0.9284766908852593
4.625122517784973,lower,-0.0043577871373829125,-0.04980973490458728,-0.9249435567616641,0.08092207561799268,-0.3713906763541038,-0.9284766908852596
4.625122517784973,upper,-0.0043577871373829125,-0.04980973490458728,0.9249435567616641,-0.08092207561799268,0.37139067635410355,0.9284766908852596
4.71238898038469,lower,-9.184850993605149e-18,-0.05,-0.9284766908852595,1.7055840113633392e-16,-0.3713906763541036,-0.9284766908852595
4.71238898038469,upper,-9.184850993605149e-18,-0.05,0.9284766908852595,-1.7055840113633392e-16,0.3713906763541036,0.9284766908852595
4.799655442984406,lower,0.004357787137382894,-0.04980973490458728,-0.9249435567616641,-0.08092207561799233,-0.3713906763541037,-0.9284766908852595
4.799655442984406,upper,0.004357787137382894,-0.04980973490458728,0.9249435567616641,0.08092207561799233,0.3713906763541036,0.9284766908852595
4.886921905584122,lower,0.0086824088833465,-0.04924038765061041,-0.914371043674923,-0.16122828537844677,-0.3713906763541036,-0.9284766908852594
4.886921905584122,upper,0.0086824088833465,-0.04924038765061041,0.9143710436749228,0.16122828537844677,0.37139067635410367,0.9284766908852593
4.974188368183839,lower,0.012940952255126016,-0.04829629131445343,-0.8968396148334843,-0.24030745053487076,-0.3713906763541036,-0.9284766908852594
4.974188368183839,upper,0.012940952255126016,-0.04829629131445343,0.8968396148334842,0.2403074505348708,0.3713906763541036,0.9284766908852593
5.061454830783555,lower,0.01710100716628341,-0.04698463103929543,-0.8724826949965971,-0.3175577308911185,-0.37139067635410367,-0.9284766908852593
5.061454830783555,upper,0.01710100716628341,-0.04698463103929543,0.872482694996597,0.31755773089111855,0.3713906763541039,0.9284766908852592
5.148721293383272,lower,0.021130913087034943,-0.04531538935183252,-0.8414856550313314,-0.3923912051686845,-0.37139067635410355,-0.9284766908852593
5.148721293383272,upper,0.021130913087034943,-0.04531538935183252,0.8414856550313314,0.3923912051686845,0.37139067635410367,0.9284766908852593
5.235987755982989,lower,0.02500000000000001,-0.04330127018922193,-0.804084401128346,-0.4642383454426299,-0.37139067635410333,-0.9284766908852593
5.235987755982989,upper,0.02500000000000001,-0.04330127018922193,0.804084401128346,0.4642383454426298,0.3713906763541037,0.9284766908852593
5.323254218582705,lower,0.028678821817552304,-0.04095760221444959,-0.7605635794133384,-0.5325523515929788,-0.37139067635410405,-0.9284766908852591
5.323254218582705,upper,0.028678821817552304,-0.04095760221444959,0.7605635794133385,0.5325523515929786,0.3713906763541038,0.9284766908852592
5.410520681182422,lower,0.03213938048432696,-0.03830222215594891,-0.7112544096181501,-0.5968133127838037,-0.3713906763541036,-0.9284766908852595
5.410520681182422,upper,0.03213938048432696,-0.03830222215594891,0.7112544096181502,0.5968133127838038,0.3713906763541036,0.9284766908852596
5.497787143782138,lower,0.03535533905932737,-0.03535533905932738,-0.6565321642986129,-0.6565321642986127,-0.37139067635410383,-0.9284766908852593
5.497787143782138,upper,0.03535533905932737,-0.03535533905932738,0.6565321642986129,0.6565321642986127,0.3713906763541036,0.9284766908852593
5.585053606381854,lower,0.03830222215594889,-0.03213938048432698,-0.5968133127838039,-0.7112544096181499,-0.37139067635410355,-0.9284766908852593
5.585053606381854,upper,0.03830222215594889,-0.03213938048432698,0.5968133127838039,0.7112544096181499,0.37139067635410367,0.9284766908852593
5.672320068981571,lower,0.04095760221444958,-0.028678821817552325,-0.5325523515929793,-0.7605635794133385,-0.3713906763541038,-0.9284766908852597
5.672320068981571,upper,0.04095760221444958,-0.028678821817552325,0.5325523515929793,0.7605635794133384,0.3713906763541036,0.9284766908852595
