kx_Ainv,ky_Ainv,lower_eV,upper_eV,analytic_lower_eV,analytic_upper_eV
-0.0020000000000000018,0.0,-0.0020000000000000018,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018
-0.0010000000000000009,0.0,-0.0010000000000000009,0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009
0.0,0.0,0.0,0.0,-0.0,0.0
0.0010000000000000009,0.0,-0.0010000000000000009,0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009
0.0020000000000000018,0.0,-0.0020000000000000018,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018
0.0030000000000000027,0.0,-0.0030000000000000027,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027
0.0040000000000000036,0.0,-0.0040000000000000036,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036
0.0049999999999999906,0.0,-0.0049999999999999906,0.0049999999999999906,-0.0049999999999999906,0.0049999999999999906
0.0059999999999999915,0.0,-0.0059999999999999915,0.0059999999999999915,-0.0059999999999999915,0.0059999999999999915
0.006999999999999992,0.0,-0.006999999999999992,0.006999999999999992,-0.006999999999999992,0.006999999999999992
0.007999999999999993,0.0,-0.007999999999999993,0.007999999999999993,-0.007999999999999993,0.007999999999999993
0.008999999999999994,0.0,-0.008999999999999994,0.008999999999999994,-0.008999999999999994,0.008999999999999994
0.009999999999999995,0.0,-0.009999999999999995,0.009999999999999995,-0.009999999999999995,0.009999999999999995
0.010999999999999996,0.0,-0.010999999999999996,0.010999999999999996,-0.010999999999999996,0.010999999999999996
0.011999999999999997,0.0,-0.011999999999999997,0.011999999999999997,-0.011999999999999997,0.011999999999999997
0.012999999999999998,0.0,-0.012999999999999998,0.012999999999999998,-0.012999999999999998,0.012999999999999998
0.013999999999999999,0.0,-0.013999999999999999,0.013999999999999999,-0.013999999999999999,0.013999999999999999
0.015,0.0,-0.015,0.015,-0.015,0.015
0.016,0.0,-0.016,0.016,-0.016,0.016
0.017,0.0,-0.017,0.017,-0.017,0.017
0.018000000000000002,0.0,-0.018000000000000002,0.018000000000000002,-0.018000000000000002,0.018000000000000002
0.019000000000000003,0.0,-0.019000000000000003,0.019000000000000003,-0.019000000000000003,0.019000000000000003
0.01999999999999999,0.0,-0.01999999999999999,0.01999999999999999,-0.01999999999999999,0.01999999999999999
0.02099999999999999,0.0,-0.02099999999999999,0.02099999999999999,-0.02099999999999999,0.02099999999999999
0.021999999999999992,0.0,-0.021999999999999992,0.021999999999999992,-0.021999999999999992,0.021999999999999992
0.022999999999999993,0.0,-0.022999999999999993,0.022999999999999993,-0.022999999999999993,0.022999999999999993
0.023999999999999994,0.0,-0.023999999999999994,0.023999999999999994,-0.023999999999999994,0.023999999999999994
0.024999999999999994,0.0,-0.024999999999999994,0.024999999999999994,-0.024999999999999994,0.024999999999999994
0.025999999999999995,0.0,-0.025999999999999995,0.025999999999999995,-0.025999999999999995,0.025999999999999995
0.026999999999999996,0.0,-0.026999999999999996,0.026999999999999996,-0.026999999999999996,0.026999999999999996
0.027999999999999997,0.0,-0.027999999999999997,0.027999999999999997,-0.027999999999999997,0.027999999999999997
0.028999999999999998,0.0,-0.028999999999999998,0.028999999999999998,-0.028999999999999998,0.028999999999999998
0.03,0.0,-0.03,0.03,-0.03,0.03
0.031,0.0,-0.031,0.031,-0.031,0.031
0.032,0.0,-0.032,0.032,-0.032,0.032
0.033,0.0,-0.033,0.033,-0.033,0.033
0.034,0.0,-0.034,0.034,-0.034,0.034
0.035,0.0,-0.035,0.035,-0.035,0.035
0.036000000000000004,0.0,-0.036000000000000004,0.036000000000000004,-0.036000000000000004,0.036000000000000004
0.037000000000000005,0.0,-0.037000000000000005,0.037000000000000005,-0.037000000000000005,0.037000000000000005
0.038000000000000006,0.0,-0.038000000000000006,0.038000000000000006,-0.038000000000000006,0.038000000000000006
0.03900000000000001,0.0,-0.03900000000000001,0.03900000000000001,-0.03900000000000001,0.03900000000000001
0.04000000000000001,0.0,-0.04000000000000001,0.04000000000000001,-0.04000000000000001,0.04000000000000001
0.04100000000000001,0.0,-0.04100000000000001,0.04100000000000001,-0.04100000000000001,0.04100000000000001
0.04200000000000001,0.0,-0.04200000000000001,0.04200000000000001,-0.04200000000000001,0.04200000000000001
0.04300000000000001,0.0,-0.04300000000000001,0.04300000000000001,-0.04300000000000001,0.04300000000000001
0.04400000000000001,0.0,-0.04400000000000001,0.04400000000000001,-0.04400000000000001,0.04400000000000001
0.044999999999999984,0.0,-0.044999999999999984,0.044999999999999984,-0.044999999999999984,0.044999999999999984
0.045999999999999985,0.0,-0.045999999999999985,0.045999999999999985,-0.045999999999999985,0.045999999999999985
0.046999999999999986,0.0,-0.046999999999999986,0.046999999999999986,-0.046999999999999986,0.046999999999999986
0.04799999999999999,0.0,-0.04799999999999999,0.04799999999999999,-0.04799999999999999,0.04799999999999999
0.04899999999999999,0.0,-0.04899999999999999,0.04899999999999999,-0.04899999999999999,0.04899999999999999
0.04999999999999999,0.0,-0.04999999999999999,0.04999999999999999,-0.04999999999999999,0.04999999999999999
0.05099999999999999,0.0,-0.05099999999999999,0.05099999999999999,-0.05099999999999999,0.05099999999999999
0.05199999999999999,0.0,-0.05199999999999999,0.05199999999999999,-0.05199999999999999,0.05199999999999999
0.05299999999999999,0.0,-0.05299999999999999,0.05299999999999999,-0.05299999999999999,0.05299999999999999
0.05399999999999999,0.0,-0.05399999999999999,0.05399999999999999,-0.05399999999999999,0.05399999999999999
0.05499999999999999,0.0,-0.05499999999999999,0.05499999999999999,-0.05499999999999999,0.05499999999999999
0.055999999999999994,0.0,-0.055999999999999994,0.055999999999999994,-0.055999999999999994,0.055999999999999994
0.056999999999999995,0.0,-0.056999999999999995,0.056999999999999995,-0.056999999999999995,0.056999999999999995
0.057999999999999996,0.0,-0.057999999999999996,0.057999999999999996,-0.057999999999999996,0.057999999999999996
0.059,0.0,-0.059,0.059,-0.059,0.059
0.06,0.0,-0.06,0.06,-0.06,0.06
0.061,0.0,-0.061,0.061,-0.061,0.061
0.062,0.0,-0.062,0.062,-0.062,0.062
0.063,0.0,-0.063,0.063,-0.063,0.063
0.064,0.0,-0.064,0.064,-0.064,0.064
0.065,0.0,-0.065,0.065,-0.065,0.065
0.066,0.0,-0.066,0.066,-0.066,0.066
0.067,0.0,-0.067,0.067,-0.067,0.067
0.068,0.0,-0.068,0.068,-0.068,0.068
0.069,0.0,-0.069,0.069,-0.069,0.069
0.07,0.0,-0.07,0.07,-0.07,0.07
0.07100000000000001,0.0,-0.07100000000000001,0.07100000000000001,-0.07100000000000001,0.07100000000000001
0.07200000000000001,0.0,-0.07200000000000001,0.07200000000000001,-0.07200000000000001,0.07200000000000001
0.07300000000000001,0.0,-0.07300000000000001,0.07300000000000001,-0.07300000000000001,0.07300000000000001
0.07400000000000001,0.0,-0.07400000000000001,0.07400000000000001,-0.07400000000000001,0.07400000000000001
0.07500000000000001,0.0,-0.07500000000000001,0.07500000000000001,-0.07500000000000001,0.07500000000000001
0.07599999999999998,0.0,-0.07599999999999998,0.07599999999999998,-0.07599999999999998,0.07599999999999998
0.07699999999999999,0.0,-0.07699999999999999,0.07699999999999999,-0.07699999999999999,0.07699999999999999
0.07799999999999999,0.0,-0.07799999999999999,0.07799999999999999,-0.07799999999999999,0.07799999999999999
0.07899999999999999,0.0,-0.07899999999999999,0.07899999999999999,-0.07899999999999999,0.07899999999999999
0.07999999999999999,0.0,-0.07999999999999999,0.07999999999999999,-0.07999999999999999,0.07999999999999999
0.08099999999999999,0.0,-0.08099999999999999,0.08099999999999999,-0.08099999999999999,0.08099999999999999
0.08199999999999999,0.0,-0.08199999999999999,0.08199999999999999,-0.08199999999999999,0.08199999999999999
0.08299999999999999,0.0,-0.08299999999999999,0.08299999999999999,-0.08299999999999999,0.08299999999999999
0.08399999999999999,0.0,-0.08399999999999999,0.08399999999999999,-0.08399999999999999,0.08399999999999999
0.08499999999999999,0.0,-0.08499999999999999,0.08499999999999999,-0.08499999999999999,0.08499999999999999
0.086,0.0,-0.086,0.086,-0.086,0.086
0.087,0.0,-0.087,0.087,-0.087,0.087
0.088,0.0,-0.088,0.088,-0.088,0.088
0.089,0.0,-0.089,0.089,-0.089,0.089
0.09,0.0,-0.09,0.09,-0.09,0.09
0.091,0.0,-0.091,0.091,-0.091,0.091
0.092,0.0,-0.092,0.092,-0.092,0.092
0.093,0.0,-0.093,0.093,-0.093,0.093
0.094,0.0,-0.094,0.094,-0.094,0.094
0.095,0.0,-0.095,0.095,-0.095,0.095
0.096,0.0,-0.096,0.096,-0.096,0.096
0.097,0.0,-0.097,0.097,-0.097,0.097
0.098,0.0,-0.098,0.098,-0.098,0.098
0.099,0.0,-0.099,0.099,-0.099,0.099
0.1,0.0,-0.1,0.1,-0.1,0.1
