x_A,mass_eV,probability_density_Ainv
-205.0,-0.019989016873755948,1.0980110517501006e-05
-200.0,-0.019986585994781342,1.3409506830258968e-05
-195.0,-0.01998361731340056,1.6375976788936633e-05
-190.0,-0.019979991955716817,1.9998036237281636e-05
-185.0,-0.019975564825622624,2.4420247433704727e-05
-180.0,-0.019970158846646532,2.981889099263127e-05
-175.0,-0.019963557952223973,3.640884720487307e-05
-170.0,-0.019955498558685586,4.445193185743639e-05
-165.0,-0.01994565920198284,5.426697495892985e-05
-160.0,-0.019933647956793026,6.624197836603335e-05
-155.0,-0.019918987184438006,8.084873865486326e-05
-150.0,-0.01990109507373461,9.866037165440194e-05
-145.0,-0.019879263347011664,0.00012037221950396633
-140.0,-0.01985263040402256,0.0001468266510319758
-135.0,-0.019820149073562353,0.0001790422675441352
-130.0,-0.019780548044021986,0.00021824797695345176
-125.0,-0.019732285963028607,0.00026592226683160616
-120.0,-0.019673497153873606,0.0003238377434131801
-115.0,-0.01960192792532383,0.00039411054026024857
-110.0,-0.01951486260062903,0.0004792534419642586
-105.0,-0.01940903873226908,0.0005822303872319689
-100.0,-0.01928055160151634,0.0007065082485316446
-95.0,-0.019124749162554782,0.0008560992367340054
-90.0,-0.018936120256925367,0.0010355837403815196
-85.0,-0.01870818141206198,0.0012500987063344662
-80.0,-0.018433371088129428,0.0015052707581828546
-75.0,-0.01810296507289733,0.0018070663892364855
-70.0,-0.01770703296404525,0.002161524590255373
-65.0,-0.017234463186266126,0.0025743319670309397
-60.0,-0.016673092140243106,0.0030501999620740905
-55.0,-0.016009980435212595,0.0035920131616027483
-50.0,-0.015231883119115297,0.004199743416140261
-45.0,-0.01432595740398049,0.004869173611483416
-40.0,-0.013280735405356982,0.0055905516773224395
-35.0,-0.012087355542343272,0.006347395899824587
-30.0,-0.010740991339960706,0.007115777625872227
-25.0,-0.009242343145200196,0.007864477329659275
-20.0,-0.007598979245104498,0.008556387860811778
-15.0,-0.005826252249031818,0.009151369618266294
-10.0,-0.00394750640449808,0.009610429829661165
-5.0,-0.0019933598924991164,0.0099006629084744
0.0,0.0,0.010000000000000002
5.0,0.0019933598924991164,0.0099006629084744
10.0,0.00394750640449808,0.009610429829661165
15.0,0.005826252249031818,0.009151369618266294
20.0,0.007598979245104498,0.008556387860811778
25.0,0.009242343145200196,0.007864477329659275
30.0,0.010740991339960706,0.007115777625872227
35.0,0.012087355542343272,0.006347395899824587
40.0,0.013280735405356982,0.0055905516773224395
45.0,0.01432595740398049,0.004869173611483416
50.0,0.015231883119115297,0.004199743416140261
55.0,0.016009980435212595,0.0035920131616027483
60.0,0.016673092140243106,0.0030501999620740905
65.0,0.017234463186266126,0.0025743319670309397
70.0,0.01770703296404525,0.002161524590255373
75.0,0.01810296507289733,0.0018070663892364855
80.0,0.018433371088129428,0.0015052707581828546
85.0,0.01870818141206198,0.0012500987063344662
90.0,0.018936120256925367,0.0010355837403815196
95.0,0.019124749162554782,0.0008560992367340054
100.0,0.01928055160151634,0.0007065082485316446
105.0,0.01940903873226908,0.0005822303872319689
110.0,0.01951486260062903,0.0004792534419642586
115.0,0.01960192792532383,0.00039411054026024857
120.0,0.019673497153873606,0.0003238377434131801
125.0,0.019732285963028607,0.00026592226683160616
130.0,0.019780548044021986,0.00021824797695345176
135.0,0.019820149073562353,0.0001790422675441352
140.0,0.01985263040402256,0.0001468266510319758
145.0,0.019879263347011664,0.00012037221950396633
150.0,0.01990109507373461,9.866037165440194e-05
155.0,0.019918987184438006,8.084873865486326e-05
160.0,0.019933647956793026,6.624197836603335e-05
165.0,0.01994565920198284,5.426697495892985e-05
170.0,0.019955498558685586,4.445193185743639e-05
175.0,0.019963557952223973,3.640884720487307e-05
180.0,0.019970158846646532,2.981889099263127e-05
185.0,0.019975564825622624,2.4420247433704727e-05
190.0,0.019979991955716817,1.9998036237281636e-05
195.0,0.01998361731340056,1.6375976788936633e-05
200.0,0.019986585994781342,1.3409506830258968e-05
205.0,0.019989016873755948,1.0980110517501006e-05
210.0,0.01999100732919067,8.990649106124684e-06
215.0,0.019992637123801463,7.3615208998890935e-06
220.0,0.01999397158567761,6.027505777909242e-06
225.0,0.01999506421696055,4.9351739905939536e-06
230.0,0.019995958832243692,4.04075948039005e-06
235.0,0.019996691311085932,3.308415228508406e-06
240.0,0.01999729103401521,2.7087825223731436e-06
245.0,0.01999778205901109,2.217818007356042e-06
250.0,0.0199981840852519,1.815832309438068e-06
255.0,0.019998513242515885,1.4867022229201646e-06
260.0,0.01999878273772398,1.2172252328363989e-06
265.0,0.019999003384442424,9.96590726512957e-07
270.0,0.019999184036508803,8.159468462863803e-07
275.0,0.019999331943126076,6.680457164241368e-07
280.0,0.019999453039636617,5.469528842430117e-07
285.0,0.019999552185619798,4.4780936676155415e-07
290.0,0.019999633359851207,3.666367881691659e-07
295.0,0.019999699819936118,3.0017781118263135e-07
300.0,0.019999754233015914,2.4576547405332713e-07
305.0,0.01999979878278793,2.0121619986104438e-07
310.0,0.019999835257130207,1.6474219128797652e-07
315.0,0.01999986511984545,1.348796997312292e-07
320.0,0.01999988956940199,1.1043029313479745e-07
325.0,0.019999909587028086,9.041276755350569e-08
330.0,0.019999925976089086,7.402377392605347e-08
335.0,0.01999993939432734,6.060558083321295e-08
340.0,0.019999950380258355,4.961968009225411e-08
345.0,0.01999995937478242,4.062517631964253e-08
350.0,0.019999966738878893,3.326109344901087e-08
355.0,0.019999972768093163,2.723188829705527e-08
360.0,0.019999977704397657,2.2295589916077268e-08
365.0,0.01999998174590286,1.8254088811009057e-08
370.0,0.019999985054808066,1.4945186351600854e-08
375.0,0.019999987763910924,1.2236085333978107e-08
380.0,0.01999998998193702,1.0018060471230563e-08
385.0,0.01999999179790338,8.20209493872792e-09
390.0,0.019999993284691008,6.715307865213722e-09
395.0,0.019999994501969844,5.498029400268697e-09
400.0,0.019999995498593517,4.5014059756372906e-09
405.0,0.019999996314560006,3.6854396547030288e-09
410.0,0.01999999698261689,3.0173828847076414e-09
415.0,0.01999999752957562,2.470424229082308e-09
420.0,0.019999997977387562,2.0226123347861507e-09
425.0,0.01999999834402498,1.6559749504014007e-09
430.0,0.019999998644202314,1.3557976385694023e-09
435.0,0.019999998889966734,1.1100332352876078e-09
440.0,0.019999999091181626,9.088183558119991e-10
445.0,0.019999999255922444,7.44077542994049e-10
450.0,0.01999999939080082,6.091991712323239e-10
455.0,0.019999999501229895,4.987700989914593e-10
460.0,0.019999999591641577,4.083584206060753e-10
465.0,0.0199999996656644,3.3433559846597003e-10
470.0,0.019999999726269164,2.737308371422911e-10
