ky_Ainv,energy_eV,analytic_energy_eV,bulk_edge_abs_eV,binding_margin_eV
0.015,0.015000000000000001,0.015,0.025,0.01
0.016,0.016000000000000004,0.016,0.025612496949731396,0.009612496949731392
0.017,0.017000000000000005,0.017,0.026248809496813377,0.009248809496813372
0.018000000000000002,0.018,0.018000000000000002,0.02690724809414742,0.008907248094147422
0.019000000000000003,0.019,0.019000000000000003,0.02758622844826745,0.008586228448267449
0.020000000000000004,0.020000000000000004,0.020000000000000004,0.028284271247461905,0.008284271247461901
0.021000000000000005,0.021000000000000005,0.021000000000000005,0.029,0.007999999999999997
0.022000000000000006,0.022000000000000006,0.022000000000000006,0.029732137494637014,0.0077321374946370085
0.022999999999999993,0.022999999999999996,0.022999999999999993,0.030479501308256336,0.00747950130825634
0.023999999999999994,0.023999999999999994,0.023999999999999994,0.03124099870362661,0.007240998703626617
0.024999999999999994,0.02499999999999999,0.024999999999999994,0.03201562118716424,0.007015621187164246
0.025999999999999995,0.025999999999999992,0.025999999999999995,0.03280243893371344,0.006802438933713451
0.026999999999999996,0.026999999999999996,0.026999999999999996,0.03360059523282288,0.006600595232822887
0.027999999999999997,0.027999999999999994,0.027999999999999997,0.03440930106817051,0.0064093010681705136
0.028999999999999998,0.028999999999999998,0.028999999999999998,0.035227829907617074,0.006227829907617076
0.03,0.030000000000000002,0.03,0.03605551275463989,0.006055512754639888
0.031,0.030999999999999996,0.031,0.036891733491393436,0.0058917334913934395
0.032,0.03200000000000001,0.032,0.03773592452822641,0.0057359245282264035
0.033,0.033,0.033,0.03858756276314948,0.005587562763149478
0.034,0.034,0.034,0.03944616584663204,0.005446165846632038
0.035,0.035,0.035,0.04031128874149275,0.0053112887414927465
0.036000000000000004,0.036,0.036000000000000004,0.04118252056394801,0.005182520563948009
0.037000000000000005,0.037000000000000005,0.037000000000000005,0.042059481689626185,0.00505948168962618
0.03799999999999999,0.037999999999999985,0.03799999999999999,0.042941821107167766,0.004941821107167781
0.03899999999999999,0.03899999999999999,0.03899999999999999,0.04382921400162224,0.004829214001622249
0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04472135954999579,0.004721359549995793
0.040999999999999995,0.041,0.040999999999999995,0.04561797891182817,0.00461797891182817
0.041999999999999996,0.041999999999999996,0.041999999999999996,0.04651881339845203,0.004518813398452032
0.043,0.043,0.043,0.0474236228055175,0.004423622805517502
0.044,0.04399999999999999,0.044,0.04833218389437829,0.004332183894378297
0.045,0.04499999999999999,0.045,0.04924428900898052,0.00424428900898053
0.046,0.046,0.046,0.05015974481593781,0.00415974481593781
0.047,0.04700000000000001,0.047,0.051078371156488535,0.004078371156488528
0.048,0.048,0.048,0.052000000000000005,0.0040000000000000036
0.049,0.049,0.049,0.05292447448959697,0.003924474489596971
0.05,0.05,0.05,0.05385164807134505,0.003851648071345047
